"tt11778080";"Corporate Responsibility";"Documentary";"6.3";"92";"2020"
"tt4720284";"Love in the Sixth";"Comedy,Drama,Musical";"7.7";"16";"2015"
"tt15433482";"Sweet Black Film";"Documentary";"7.0";"10";"2021"
"tt10288952";"The 13th Man";"Documentary";"6.6";"60";"2019"
"tt0369270";"Bettada Huli";"Musical";"8.4";"21";"1965"
"tt0369272";"Bewafa";"Drama,Romance";"7.6";"86";"1952"
"tt0369273";"Beyond the Himalayas";"Documentary";"9.0";"11";"1996"
"tt4010036";"Weapon";"Drama,Thriller";"7.5";"13";"2020"
"tt2335554";"Sins of the Dragon";"Action,Fantasy";"7.2";"27";"2012"
"tt6964844";"Hospitality";"Crime,Drama,Thriller";"4.9";"327";"2018"
"tt10984580";"Utama";"Drama";"7.5";"156";"2022"
"tt10984586";"Shapludu (Bengali)";"Crime,Thriller";"7.7";"316";"2019"
"tt10984588";"The Torch";"Documentary,Music";"6.8";"23";"2019"
"tt0369259";"Balaa";"Horror";"4.8";"10";"1992"
"tt2599226";"An Easter Bunny Puppy";"Family";"2.2";"177";"2013"
"tt2913916";"Chaplin of the Mountains";"Drama";"7.4";"56";"2013"
"tt7758352";"51%";"Documentary";"5.6";"8";"2017"
"tt11107978";"Brightheart: Let Your Light Shine";"Animation,Family,Fantasy";"5.0";"41";"2020"
"tt3719414";"Smertelno zhivoy";"Crime,Drama,Thriller";"6.6";"90";"2015"
"tt0369255";"Azira: Blood from the Sand";"Horror,Thriller";"6.1";"41";"2006"
"tt3719416";"Si fei";"Drama,Romance";"5.3";"112";"2015"
"tt0369258";"Bal-Can-Can";"Action,Adventure,Comedy";"7.6";"2656";"2005"
"tt11357028";"12 Pups of Christmas";"Animation,Drama,Family";"4.2";"603";"2018"
"tt4010062";"Doll Murder Spree";"Horror";"3.7";"36";"2017"
"tt0369260";"Bandagi";"Musical";"4.6";"7";"1972"
"tt3719422";"Everything in the Song Is True";"Biography,Documentary,Music";"8.2";"99";"2016"
"tt0369267";"Bertud ng putik";"Action,Adventure,Comedy";"6.8";"18";"2003"
